Level	ID	Inference	Priority	Category	Question (Dev/Non-Dev Friendly)	Skip Condition	Skip Note	Why LLM Wins (or Loses)	Structural Validator
L1	L1.12	High	Standard	Performance	How fast does this need to feel? Instant (like a game), brisk (like a website), or is 'processing in the background' okay?	domain in ['chat', 'gaming', 'trading', 'search']	Assuming <200ms response time based on real-time domain	LLM knows that "Chat App" = <100ms and "Report Gen" = <5s	FALSE
L1	L1.11	High	Standard	Availability	Can the system go down for maintenance occasionally (nights/weekends), or does it need to be live 24/7/365?	domain in ['healthcare', 'finance', 'emergency']	Assuming 99.99% uptime based on critical domain	LLM knows that a "Hospital System" needs 99.99% and a "Hobby Blog" needs 99%	FALSE
L1	L1.16	High	Standard	Trade-off	Which is more important right now: getting a prototype working fast, or building it perfectly to handle millions of users later?	prompt contains ['MVP', 'prototype', 'proof of concept']	Assuming speed over robustness based on MVP context	LLM detects "MVP" vs "Enterprise" intent from the prompt tone	FALSE
L1	L1.14	High	Standard	Security	How should users get in? (e.g., Google Login, corporate SSO, or just a simple email/password?)	domain is B2B enterprise	Assuming SSO/SAML based on enterprise context	LLM knows standard auth patterns for B2B vs B2C	FALSE
L1	L1.18	High	Standard	Trade-off	Is it more important that data is always perfectly accurate, or that the system is always available even if slightly stale?	domain in ['finance', 'healthcare', 'legal']	Assuming strong consistency based on regulated domain	LLM knows CAP theorem trade-offs by domain	FALSE
L1	L1.19	High	Standard	Trade-off	Should we build custom solutions, or use off-the-shelf tools wherever possible?	prompt contains ['fast', 'budget', 'MVP']	Assuming off-the-shelf preference based on speed/budget context	LLM knows build vs buy trade-offs	FALSE
L1	L1.15	Medium	Standard	Recovery	If the database crashes, how much data can we afford to lose? (None, 1 hour's worth, or just restart?)	None	N/A	LLM can guess, but "Zero Data Loss" is expensive, so user confirmation needed	FALSE
L1	L1.06	Medium	Standard	Platform	Where will people use this? (Web browser, iPhone app, Android app, or Desktop software?)	None	N/A	Often implied ("Build an app"), but "Web App" vs "Mobile App" is distinct	FALSE
L1	L1.08	Medium	Standard	Scale	Roughly how many people will use this at once? (10 people, 10,000 people, or millions?)	None	N/A	LLM can infer scale from problem description (e.g., "HR tool" = Low, "Social Network" = High)	FALSE
L1	L1.09	Medium	Standard	Data Volume	How much data are we storing? (Text documents, giant video files, or millions of sensor readings?)	None	N/A	Implied by domain, but specific volume impacts storage costs	FALSE
L1	L1.17	Medium	Standard	Trade-off	Are we optimizing for lowest monthly hosting cost, or highest possible performance?	None	N/A	Hard to guess the user's wallet size	FALSE
L1	L1.07	Low	Critical	Integration	Does this system need to talk to any specific existing software you already use? (e.g., Salesforce, SAP, a specific legacy database?)	None	N/A	Zero Inference. LLM cannot know your internal IT stack	FALSE
L1	L1.02	Low	Critical	Users	Who exactly is the human sitting at the keyboard? (e.g., A busy doctor, a warehouse worker, a teenager?)	None	N/A	Critical for UX. Hard to guess specific personas without hints	FALSE
L1	L1.10	Low	Critical	Compliance	Are there strict laws we must follow? (e.g., HIPAA for health, GDPR for Europe, handling credit card numbers?)	None	N/A	LLM can guess based on domain, but legal compliance requires explicit "Yes/No"	FALSE
L1	L1.04	Low	Critical	Timeline	Is there a hard deadline or big launch date we need to hit?	None	N/A	Zero Inference. Pure external reality	FALSE
L1	L1.05	Low	Critical	Budget	Is there a strict budget cap for building or hosting this?	None	N/A	Zero Inference	FALSE
L2	L2.12	High	Standard	Performance	Does this specific part need to be faster than the rest of the app?	module_type in ['search', 'autocomplete', 'real-time']	Assuming elevated performance requirements based on module type	LLM knows "Search" needs to be fast, but "Settings" does not	FALSE
L2	L2.13	High	Standard	Security	Does this part need extra-tight security compared to the rest?	module_type in ['payment', 'auth', 'PII']	Assuming elevated security based on sensitive module type	LLM knows "Payments" = Yes, "Profile Picture" = No	FALSE
L2	L2.11	High	Standard	Fault Isolation	If this specific feature breaks, should it crash the whole app, or just show a specific error message while the rest keeps working?	None	N/A	LLM knows fault isolation best practices	FALSE
L2	L2.01	High	Standard	Purpose	What is the main job of this component?	module has descriptive name	Inferred from module name	Usually defined by the module name (e.g., "EmailSender")	FALSE
L2	L2.10	Medium	Standard	State	Does this feature need to remember things forever (Database), or just while the app is open (Memory)?	None	N/A	LLM generally knows "Carts" are persistent and "Filters" are often temporary	FALSE
L2	L2.07	Medium	Standard	Cardinality	Does this handle one item at a time (like a user profile), or big lists of things at once (like a monthly report)?	None	N/A	LLM can usually infer from the noun (Report vs Profile)	FALSE
L2	L2.04	Medium	Standard	Dependencies	What information does this feature need to do its job?	None	N/A	LLM knows "Shipping" needs an "Address," but might miss unique business data	FALSE
L2	L2.08	Medium	Standard	Cardinality	If we are processing a list, is it a fixed size (like a class roster) or an endless stream (like Twitter feed)?	None	N/A	Architectural definition of Bounded/Unbounded context	FALSE
L2	L2.05	Medium	Standard	Dependents	Who else needs the information this feature produces?	None	N/A	Dependency mapping	FALSE
L2	L2.09	Medium	Standard	Latency	Can this happen in the background (Async), or does the user need the result immediately?	None	N/A	LLM knows "Video Encoding" is async, but "Login" is sync	FALSE
L2	L2.14	Low	Standard	Compliance	Are there specific auditing or tracking rules for this feature?	None	N/A	Compliance details are often company-specific	FALSE
L2	L2.06	Low	Critical	Data Ownership	Is this feature the 'Master' of this data, or is it just borrowing it from somewhere else?	None	N/A	Critical Topological Question. Hard to guess	FALSE
L2	L2.03	Low	Critical	Exit Condition	What exactly constitutes 'Done' for this feature?	None	N/A	Business logic	FALSE
L2	L2.02	Low	Critical	Trigger	What specific event kicks this process off? (A button click? A daily timer? When a file arrives?)	None	N/A	Hard to guess user workflow preferences	FALSE
L3	L3.09	High	Standard	Timeout	How long should we wait for this to finish before giving up?	None	N/A	LLM knows standard timeouts (API=30s, DB=5s)	FALSE
L3	L3.07	High	Standard	Retry	If the external service is down, should we retry automatically?	None	N/A	LLM knows "Idempotent GET" = Retry, "POST Payment" = Do not retry	FALSE
L3	L3.13	High	Standard	Acceptance	If we input X, is it guaranteed to output Y?	None	N/A	Basic unit test logic	FALSE
L3	L3.01-04	High	Standard	Interface	What goes in, what comes out, what are the validation rules, and what are the failure modes?	None	N/A	LLM is great at guessing standard fields. Risk: might miss custom fields	FALSE
L3	L3.12	High	Standard	Rollback	If this step fails halfway through, do we need to 'undo' the previous steps?	None	N/A	Transaction logic. LLM knows Database writes need rollback	FALSE
L3	L3.11	High	Standard	Idempotency	If we run this twice by accident, is that safe?	None	N/A	LLM knows "Read" is safe, "Charge Card" is not	FALSE
L3	L3.10	Medium	Standard	Side Effects	Does this action change anything outside of this computer? (Like sending an email or charging a card)	None	N/A	Usually obvious from function name, but vital to confirm	FALSE
L3	L3.08	Low	Standard	Error UX	If the user types bad data, what exactly should they see?	None	N/A	UX copy/messaging is subjective	FALSE
L3	L3.06	Low	Critical	Hidden Dependencies	Is there any hidden information this function needs that isn't passed in directly?	None	N/A	The "Magic Variable" check. LLM cannot guess implicit context	TRUE
L3	L3.05	Low	Critical	Data Source	Where exactly does [Input Field X] come from? (Database? User typing? Another API?)	None	N/A	The "Orphan Data" Check. Lowest inference, Highest criticality	TRUE
TERMINAL	T1	N/A	Critical	Assumptions Review	Before we proceed, here are my assumptions: [LIST]. Are these correct? Is there anything else I need to know?	None	N/A	Surfaces high-inference assumptions for user review	FALSE
TERMINAL	T2.L1	N/A	Critical	System Completeness	Is there any other system-wide constraint, requirement, or context I need to know before designing the architecture?	None	N/A	Terminal license for L1	FALSE
TERMINAL	T2.L2	N/A	Critical	Module Completeness	Is there anything else about [Module Name] that affects how it should be built?	None	N/A	Terminal license for L2	FALSE
TERMINAL	T2.L3	N/A	Critical	Node Completeness	Is there any other clarifying information or decision point I need to know to build this specific function?	None	N/A	Terminal license for L3	FALSE
